sample_name	cancer_group
COAD_BA3E7A65_30AB_4ED9_BF52_ED8138164EB9	COAD
COAD_BC05CF64_A1D1_4B97_912E_5B98183DBC8C	COAD
COAD_C4C5A550_D6B2_4D3F_9AC6_6670C4536911	COAD
COAD_CC735B5F_BE7A_4206_BB75_48A9C82CB8D3	COAD
COAD_D0F82B03_939F_4445_AC8E_64C964402761	COAD
COAD_DC7564C4_1BB1_4FC9_B8BB_B557E69E35CC	COAD
COAD_E51C5352_B7B3_4ADD_9762_EFF31721773F	COAD
COAD_E909BFFC_69FE_4F53_AB5E_5E99EEFDAE02	COAD
COAD_EAA1986E_7F10_47A6_BF27_02BAAF0E7A58	COAD
COAD_ED8C6999_09C5_4B1C_916B_0E479EB39F6D	COAD
COAD_FB8215D6_C4F6_45D9_965E_A6992E9EAEB7	COAD
ESCA_1E6AC686_96C2_46C4_A451_12D30114DD06	ESCA
ESCA_1FEF5E19_2351_4D46_99B4_63F0637ABF17	ESCA
ESCA_22102BD7_4D9F_4914_84D0_C64E2CB0D8C1	ESCA
ESCA_28184A42_07CF_4C5F_90E4_805CB39E2990	ESCA
ESCA_2CF8A6D4_F43E_41A6_AD3B_22E699550CD2	ESCA
ESCA_30FD1AB6_6197_498C_86D0_2A8CA2B1FA51	ESCA
ESCA_3433A6BC_AEAF_459B_8A67_C0C2301280C8	ESCA
ESCA_3DB8158E_7924_4C46_91F3_BC9D279B82A6	ESCA
ESCA_57016875_7C97_43EE_AD1F_242912852479	ESCA
ESCA_663192A1_DAE9_463A_A3E4_C4E7EDBD5734	ESCA
ESCA_6DC73EB5_5736_46B8_8731_B44C4F740B2F	ESCA
ESCA_7DBFB952_8680_464C_A692_69343181D996	ESCA
ESCA_81D32E9D_3A4E_466E_B7B3_4D0FD8822CB4	ESCA
ESCA_8CD2B7FE_9FFB_4EA3_B17F_098AFE0CDA2A	ESCA
ESCA_C6860084_FC18_4AD6_8784_E548B1A59573	ESCA
ESCA_E7719DEC_B2E3_41D3_BB06_BCA05538058A	ESCA
ESCA_F025BE90_A174_4C60_987A_58EFE830C68A	ESCA
ESCA_F85278F2_0497_4F2D_B8E5_CDEE733FB047	ESCA
GBMx_09C0DCE7_D669_4D28_980D_BF71179116A4	GBMx
GBMx_193F811A_D110_4C59_86B7_FFDAA205844B	GBMx
GBMx_6BEE2CB6_9AFD_42A6_9C26_9C4428FBABFA	GBMx
GBMx_714AA767_CACF_413D_B2FD_FE1882A80C57	GBMx
GBMx_9976F952_23A5_431A_A431_01E544324A26	GBMx
GBMx_99D8A126_072F_4485_8D2D_6981505460C2	GBMx
GBMx_A299027D_1362_4261_95BC_DD25B12F57C2	GBMx
GBMx_A90B18B6_6056_46D1_BF4E_70710236B8DD	GBMx
GBMx_ED12A6C9_D96E_49C4_B882_6382A5FB4538	GBMx
HNSC_19453A09_733B_4E0B_AD43_90DFE9374598	HNSC
HNSC_2790E71B_7C59_4237_8DD6_5FDE8971AFDC	HNSC
HNSC_4BB2B5AC_B01A_439A_A7AD_EF8CEC865DB3	HNSC
HNSC_792EA5E5_66EF_406A_AFCA_70BC90A6C324	HNSC
HNSC_7F157EB5_19C5_4E68_827E_327704D7A212	HNSC
HNSC_855DA2A7_03B9_4E59_BDFE_F1D86395FC26	HNSC
HNSC_B4C01112_D529_49C5_A458_0E09DA1C071E	HNSC
HNSC_D6F95774_441D_47F6_93CE_999D7BE81E44	HNSC
HNSC_D8E8DB95_B06F_43C5_90BD_303E4A0E1874	HNSC
KIRC_0A1F461B_6A6F_4142_8174_073ABBC28DF8	KIRC
KIRC_0BCD21B9_CB40_447A_A948_1E81C1639D73	KIRC
KIRC_26756D07_DF00_425A_853F_93B4E5617D46	KIRC
KIRC_2C210B7C_F149_4818_98F3_9B143E33B851	KIRC
KIRC_3452354F_0DD5_47A3_BCB0_46A55541F9CF	KIRC
KIRC_5786B3A8_42EB_47D3_A498_7FB1B3396376	KIRC
KIRC_636FFA9B_55A1_4D2E_A2DF_AF9FF8FA74A2	KIRC
KIRC_74F7F7E1_DD7C_4A10_A83D_3531DB117830	KIRC
KIRC_764CDC61_4B64_49A5_ADD9_8CFDA859D486	KIRC
KIRC_7D6A394E_01EC_4C58_A010_1C63147A376A	KIRC
KIRC_8B2A2833_6735_4555_941D_BAEFE9248C9E	KIRC
KIRC_97AE56C6_2AA5_4B27_977E_204C9A68FB9C	KIRC
KIRC_B4113118_07F1_4E2F_A702_43CDB2C0B192	KIRC
KIRC_B73B67F3_4074_4DBF_97F1_081A17147C54	KIRC
KIRC_E23C2DB7_95FC_4883_AE21_DC5573914B08	KIRC
KIRC_F62461A5_6358_41C0_9435_01FA2C47868F	KIRC
KIRP_042753BE_85C4_4099_8D32_D0CB0E1EB4DD	KIRP
KIRP_09B393E2_4336_4C79_BA60_5DCF9129164C	KIRP
KIRP_0C6C66CE_7D41_4176_8438_F275CDFE7759	KIRP
KIRP_0FE0002E_9238_49B8_9550_980FC3AB7146	KIRP
KIRP_270E1387_1CB4_4420_AB6C_F489F428DF35	KIRP
KIRP_3AB3B701_7C1B_488C_B975_0F6F80F0CB57	KIRP
KIRP_505F564D_34DD_4D23_BB66_E55A20D17D60	KIRP
KIRP_519FD510_1C90_4477_ADEA_078669DC38F2	KIRP
KIRP_52DFFDB2_62DB_4DD7_91BB_B9C34FC1E08C	KIRP
KIRP_5C0BAEF0_C8D9_44C6_B37D_642EE07EA762	KIRP
KIRP_5E268D3E_9CC0_4D85_9742_765A53CB3D96	KIRP
KIRP_727BDE79_FED3_4534_9639_7BD8E0AF8FC0	KIRP
KIRP_72FE20F7_344B_4E28_B403_E85361A66552	KIRP
KIRP_737F435D_531F_4B20_ABB1_91E3E2027D4D	KIRP
KIRP_791AAC61_D60E_41AC_9248_99F517F220E3	KIRP
KIRP_804764D2_A6F0_46BD_9D0E_7DE65B228F5C	KIRP
KIRP_8AF1A570_9364_41E5_A8A3_E4DD24FAEEA6	KIRP
KIRP_8CAE0E7A_6D06_46BF_BC85_57E457CFBBDA	KIRP
KIRP_90796CEF_ABF4_4134_B560_6BD9A7E78BA0	KIRP
KIRP_9B640802_873B_4B53_B626_566FFC002E91	KIRP
KIRP_9E89F1FA_31C6_46C4_B203_29DBB9F1B184	KIRP
KIRP_A1F39D17_79BC_485B_80ED_5EBB531CA57C	KIRP
KIRP_A66508E8_FAA2_4B0C_8F22_823809294A97	KIRP
KIRP_B3C1CAEA_4175_4066_B9D1_6CC8097BDB40	KIRP
KIRP_B66E832D_DDE1_44C7_BCA0_AF649AAF50D7	KIRP
KIRP_BEB0AB9C_2DFA_49E1_BD4B_5A65BED95B83	KIRP
KIRP_DB49B30A_EECF_4F76_8E0B_3B0F612996F4	KIRP
KIRP_DB8EEE5B_654A_4078_861D_67364F7F3881	KIRP
KIRP_DD265FAD_F2AB_4B2E_891B_9F33085DF9AF	KIRP
KIRP_DFEC4B50_8B95_4E6C_B78D_D68B890C66FE	KIRP
KIRP_E65C8B50_CC10_43D7_9739_6E8658F9D89B	KIRP
KIRP_FAD34DB3_49EA_4DDC_A565_145EC396087E	KIRP
KIRP_FDA28C1E_17D3_4068_88C3_51D150F15DC9	KIRP
KIRP_FFF322EC_6F9A_42E4_879B_6439754FE484	KIRP
LGGx_116B070A_3412_4866_87B9_8337AD92CA94	LGGx
LGGx_2B03F922_2B01_4A7B_988A_BFE9C3BDED00	LGGx
LGGx_2F543B87_3A9F_4B55_9E8D_10B5AB94CE51	LGGx
LGGx_4E978019_CC7B_42B2_9396_8EEAF92432E4	LGGx
LGGx_56FF7516_4BDD_4A58_8549_8AD0F007B970	LGGx
LGGx_628A914A_4A96_4811_9479_2D8D447AF9E2	LGGx
LGGx_7BCD063E_F270_458F_9376_729BE2F3E2C6	LGGx
LGGx_9A5916F6_43DA_40ED_A66A_7459EEBC8474	LGGx
LGGx_A6ED3CBE_E7FD_469C_BF98_07418F13E51B	LGGx
LGGx_B0E1CD4B_FE13_4964_A0BB_59DFBA5A94BB	LGGx
LGGx_D032E98E_01EF_40D9_A839_F88F5E1F3DAF	LGGx
LGGx_F649997E_20A9_43A5_B8ED_6C21363E4123	LGGx
LGGx_FC0365FE_DE25_4407_8951_F8D85551FBC3	LGGx
LIHC_1916FDF9_2E1A_4B05_B5C6_98D5DBEA8488	LIHC
LIHC_273EAF94_CC00_4303_B5FA_D097580CB5E6	LIHC
LIHC_310B2961_4223_4541_AE8B_C22E20775318	LIHC
LIHC_31861258_F778_40B3_A2A4_E4E8F00794B2	LIHC
LIHC_39F9069F_8AA1_46EE_B127_69157C3A94A1	LIHC
LIHC_41A999C7_62D5_4AB7_9CA5_F39EF96141CD	LIHC
LIHC_49E8423D_5CB8_4257_9BE8_0143D787C41F	LIHC
LIHC_51CD5E23_C95F_4399_B77F_95B4C33E9173	LIHC
LIHC_7BA22083_6B58_4B21_B764_6D1619419AAF	LIHC
LIHC_855E9254_23F8_426E_9A20_D4A42A2662EA	LIHC
LIHC_9A74F036_42C5_44E2_8181_63D2B7526D80	LIHC
LIHC_9CFCE167_AE10_47E5_8E18_947E06323052	LIHC
LIHC_A4C8EBCB_C1AD_43C3_96D3_17AC788E0C9E	LIHC
LIHC_CA8B4E55_2856_4560_828D_C74F6F311E51	LIHC
LIHC_DD6CCFE8_1ADB_44E7_BD44_72C3AD7FA6C5	LIHC
LIHC_E4EEC6CC_FBEB_4FEA_8D51_FB07391A9D4A	LIHC
LIHC_EA60FBEB_E9B9_4115_AC41_BEE17204C80C	LIHC
LUAD_07B8C449_3062_436F_8274_4C27887BF8AB	LUAD
LUAD_18545E4A_6285_4DB7_A52C_9E12075D6B89	LUAD
LUAD_18B8C125_D05C_4AC1_A739_FCC610777B0F	LUAD
LUAD_202446E0_6AF3_4F03_856A_0D60F466D2CE	LUAD
LUAD_31981D14_6717_43C6_B0F3_4D477F637E6F	LUAD
LUAD_3AD9F8C2_688A_4795_8E69_9E6CC0A239A5	LUAD
LUAD_48A8548F_79B1_4013_A31C_B2BFDD33F634	LUAD
LUAD_698EE8D8_3251_42DC_BB3B_FC3C046EC728	LUAD
LUAD_6C75D43E_820A_490B_8BBA_8D3DCF19ACE5	LUAD
LUAD_79DEBC87_22F6_49D5_8EE7_C2A4B0559773	LUAD
LUAD_7EA1F51C_B63F_4445_9BF2_62E7BA22D95A	LUAD
LUAD_84B38240_83D1_4303_89B6_FD624E2F8EB8	LUAD
LUAD_8B7E9FCA_C6CF_45A8_8A9B_646198BB6495	LUAD
LUAD_8DD2E6E7_E560_47C9_8967_7F376B260524	LUAD
LUAD_9B9C5C6D_1755_41CD_9BC1_BFBC5D383DE0	LUAD
LUAD_A1ABC0B2_D7F8_45B5_B431_AE23B19B8DED	LUAD
LUAD_CA6F245B_30E0_48DE_AB15_23736E21D312	LUAD
LUAD_DFDCD538_5828_437C_A2DA_E0FA86DF1577	LUAD
LUAD_E25DF7DA_5F44_4BA5_9352_C2012B2AC18B	LUAD
LUAD_EBFDB93D_ABF0_44F5_B682_1F330405F9E9	LUAD
LUAD_ECBD63B4_2B0B_4E3C_A25D_A3580CEAF276	LUAD
LUAD_F2B26D56_4853_423E_AC90_9DB4AD7CE9EE	LUAD
LUSC_19B5174F_A29F_4022_8BF8_025685B32CB8	LUSC
LUSC_3453F6D2_352F_41E1_8307_382F1A2249CF	LUSC
LUSC_3780DC14_9D74_4BE6_9B91_D425244D1653	LUSC
LUSC_37DBAF18_D34C_40CE_AB6B_F9C136FE6271	LUSC
LUSC_3AD1EA06_AA53_4C53_B436_4417FA2B8A0E	LUSC
LUSC_3E7D3CAA_ABD3_433A_8A2D_E301AF1AC735	LUSC
LUSC_4F3028BD_96C0_4207_B1CC_6EFC91D9125D	LUSC
LUSC_5AC6ED60_B4C0_42C1_BAB1_A173859818AE	LUSC
LUSC_67CCECB1_91AF_4986_B16B_75803C469F29	LUSC
LUSC_8C8D4BD8_7F67_421F_BAB4_21D157B4F4AA	LUSC
LUSC_A81EDD99_26C1_4F2D_A67D_86E945AC532B	LUSC
LUSC_A834F34C_1FA7_45E9_B9A6_F6AC7D663F87	LUSC
LUSC_BC1759C1_171F_4663_83C6_52AC28059A9B	LUSC
LUSC_E6A5E1D5_E23C_4C9E_A4E8_5A399AD0660E	LUSC
LUSC_E6E5C1B0_56E7_4EF7_A54C_CFFF60873272	LUSC
LUSC_F57C391B_F43A_4E31_B666_4C2329037C06	LUSC
MESO_1BB791A0_A0DD_407E_9CF7_C1057DAB6589	MESO
MESO_1C3AE5C2_83C6_49F9_A008_9202D4788E07	MESO
MESO_2470AFE9_83F2_4F12_BE76_F26F4BA6B974	MESO
MESO_4D0379C7_08E5_4F3D_852A_7F0454C6E192	MESO
MESO_E63A7EB2_8F27_499E_B9BF_92A8400388D6	MESO
MESO_E74BDC00_E094_44E8_9F4A_EB4038306740	MESO
MESO_F3321D8C_8D46_4877_A9A9_6B4DDA86E2A0	MESO
PCPG_007124EC_1F9B_4FCB_BC6E_DB8C25FD9146	PCPG
PCPG_172D2D46_36AD_49CF_A4CB_BCE28B8CDA13	PCPG
PCPG_3D543A8C_2366_4C7D_B8C2_2438E7B2A13F	PCPG
PCPG_6E12D868_CE35_491E_8811_263F1537B7FD	PCPG
PCPG_76EE6592_FC58_4EBA_8E1E_6B5B937A4D9B	PCPG
PCPG_7C5C19DE_54FA_4DE8_B87F_7694F5B50F41	PCPG
PCPG_BC53E760_C528_4E00_95C4_B58EC4745512	PCPG
PCPG_BF252877_E0B6_4B37_B080_3F4C0BCBDFF6	PCPG
PCPG_F29BD6FA_566B_4459_97F8_9C4BDEABEC3E	PCPG
PRAD_178E3984_9A7E_4683_8F3E_AB3814DD4880	PRAD
PRAD_1D2771DB_CB6D_4012_BABC_5962CBDB2278	PRAD
PRAD_1FB2E3C9_F5E7_4164_BB70_2272B373473A	PRAD
PRAD_24ED77D1_86DE_4B0A_A993_33D647818D84	PRAD
PRAD_26CBC4A0_77A9_4574_9D1E_10315A31BED7	PRAD
PRAD_39BCC794_CD38_4D22_8DC8_EF19373B53A3	PRAD
PRAD_3C129F3A_8168_47D9_8D38_8959B788B123	PRAD
PRAD_49BC4035_EB29_4AFE_838F_271AC1B3D2BC	PRAD
PRAD_4B159A90_F1FF_4FC4_8271_5AF6072F7EE4	PRAD
PRAD_4EB4F860_74BC_4A05_95A9_F97827BDA17C	PRAD
PRAD_53DF2155_A6B0_46AC_A21B_288784A53914	PRAD
PRAD_61B4E703_CEB4_4117_9977_134941FD583F	PRAD
PRAD_6FF51A3D_B6AE_46F8_9A71_15AE21CF8C31	PRAD
PRAD_7CE08E8F_38F0_4FE5_9446_865E105997E1	PRAD
PRAD_8D256ADA_92B7_437E_8D09_4791A113D7C1	PRAD
PRAD_90DF4FA1_85C0_4320_ADC5_9AFBAB6992D5	PRAD
PRAD_A46AA022_8396_4DBE_9DB0_EF5D4D13EBFB	PRAD
PRAD_B06E11EC_7D3E_4BFC_9D3F_33877A4D9E66	PRAD
PRAD_BDFE10D1_4C84_446B_B962_20985B57AE5D	PRAD
PRAD_C276D64C_147B_4F15_A27E_A8068FB06146	PRAD
PRAD_C28DF709_212E_4835_AD1E_234A05480083	PRAD
PRAD_C4C5514D_2C9F_412B_AB0F_7286EA248D0A	PRAD
PRAD_C52513D1_8E67_419B_BC8F_D719459735F9	PRAD
PRAD_F160CE71_20EB_48FB_B28D_C7BA4E926F0B	PRAD
PRAD_FE4D9D9C_7794_4E71_B168_469AE41B08E6	PRAD
PRAD_FFB6C615_9A10_4E15_A662_EE808FDE451E	PRAD
SKCM_0852FA43_7577_4456_8033_9A9156A7B258	SKCM
SKCM_211D9CF4_3348_4DCD_8A01_6827435DDB3D	SKCM
SKCM_398F831B_A6C7_40D9_9EC4_16CECA35AEA2	SKCM
SKCM_4EDE1486_22DD_4DB9_8CB1_B4A058E459D1	SKCM
SKCM_79ECCC2A_6352_43BB_AF79_FABC426586EB	SKCM
SKCM_8F708E04_2936_4E85_85C2_D1431003898B	SKCM
SKCM_ADDDF130_3C88_413F_9C74_2EA68EA26E0C	SKCM
SKCM_E6A09E0C_BC0B_4F10_92FA_5B6826A4F336	SKCM
SKCM_F05B8E69_5AD9_4FCF_8980_1307F35BD173	SKCM
SKCM_F15664E6_AE19_4B59_971A_8FC8E05CF921	SKCM
SKCM_F318F3E5_E6BE_4CBB_977A_ABE202DCE9EA	SKCM
SKCM_FDA487D2_5293_4315_9212_3836856CCFFB	SKCM
SKCM_FE986D7E_FB8B_4B58_A50C_CAED05FFCAA5	SKCM
STAD_00DFAA4D_DE64_4476_9546_18E728653046	STAD
STAD_0215A386_9440_452B_9832_B64A80AA8898	STAD
STAD_074F7FDD_B91D_4302_8248_B3FAA12A2451	STAD
STAD_1648A422_0188_460C_B462_BEA69640D682	STAD
STAD_2A8C4C35_D8EA_4423_9ECA_D0612BC1C647	STAD
STAD_2C565D47_79DA_4384_81CE_545B01C56A16	STAD
STAD_2DE93632_B991_41E8_905F_E901C64949A4	STAD
STAD_3391F99D_E7C9_4AE9_B5F9_2701555DC3A4	STAD
STAD_78ACDA82_EAB2_4188_9631_A23425981D92	STAD
STAD_8246817A_8A76_4010_AFE7_991C772B2B77	STAD
STAD_91C7155F_8187_4688_BEAB_C4179C786667	STAD
STAD_96AC922D_69D3_4297_BCF5_7B37B160078B	STAD
STAD_BAB7D0D7_4F14_4ED4_B8E4_B9E760F57246	STAD
STAD_BBB7AC74_B4E3_482C_BFA5_86555CE18654	STAD
STAD_C23BE39C_3C24_4DB8_B26D_CE6629CF02EC	STAD
STAD_C6252D6A_38B3_4A09_9B2F_185F8FB36EBE	STAD
STAD_CEF81A6C_B09A_4698_BC93_DC029B9CA17A	STAD
STAD_D1C43A87_4C70_4AE9_9023_880A46E79F21	STAD
STAD_D8BEB0DD_C346_4C1D_8A5F_6E669453AE6D	STAD
STAD_E07AAE91_7A4F_4FDC_9D67_4FA1D4E6DD89	STAD
STAD_EA9A5DB6_348F_41C4_ACCC_5717653ABD74	STAD
TGCT_09E99DFE_D6FF_46DA_8DB4_AEEE237A6FE0	TGCT
TGCT_0A0512E8_AD96_4154_AAA2_3BDD67A279E9	TGCT
TGCT_1577A485_E047_42CF_8703_42A69E1AED1A	TGCT
TGCT_1733145A_1C7A_49A1_BCA7_7B72F7C8FFE7	TGCT
TGCT_42AA9956_CB47_4A45_8B3E_BCA4A1560649	TGCT
